x,y
50,2.6666932997389057
60,2.0000368909650335
70,9.627590993405554E-5
80,1.411094596134498E-5
90,4.135601137981993E-5
100,2.000428971377743
110,7.930545965468102E-6
120,2.00000055467713
130,1.457369307408237E-4
140,2.4704258516460598E-5
150,1.7796098534356402E-4
160,1.0102548846110637E-5
170,2.0006272881649996
180,7.154035380269123E-5
190,1.5000985997140933E-5
200,3.148159136287815E-5
210,1.1525519682994086E-5
220,2.5503913653432577E-5
230,1.6928159316001246E-5
240,7.609942978771305E-5
250,2.8689503448493576E-5
260,5.9908814164321285E-5
270,5.981567391999944E-6
280,2.000145272353072
290,9.90986076916217E-6
300,2.8809608446854943E-5
310,4.598858516325672E-6
320,6.488952724150153E-6
330,6.887822520142679E-7
340,2.1594998741366506E-6
350,2.1513198796254236E-6
360,1.6049912473316964E-6
370,5.831992833471244E-6
380,1.2815102697653072E-6
390,2.3289520482779596E-6
400,2.8970454689052484E-6
410,4.4603346619717075E-6
420,6.245775148594714E-6
430,2.8726626079571158E-5
440,4.726691052635469E-7
450,5.55343033088573E-6
460,1.8615256794581228E-6
470,1.7971423257509714E-6
480,1.7147694009571619E-6
490,4.814275729968576E-6
500,1.9801166727638656E-6
