x,y
50,0.0029305439171271462
60,0.0029016887338630705
70,9.925000870659978E-4
80,9.501951792855237E-4
90,1.8164687034587929E-4
100,1.033614388799339E-4
110,2.3435800583927733E-4
120,2.000022563993931
130,6.909604456422592E-5
140,3.895501812133226E-5
150,2.0000689160598286
160,3.140267407223231E-5
170,1.2693947689816223E-5
180,3.420762802243004E-5
190,2.000267014948573
200,2.00000644782682
210,6.888286296762493E-6
220,1.9926308164908734E-5
230,2.6616908065489167E-5
240,3.138017571140108E-5
250,3.952264082089766E-6
260,8.69110029421029E-5
270,1.1924233056009874E-5
280,2.000008143447358
290,4.386599855177523E-6
300,4.512051722803948E-5
310,1.6286748903174707E-5
320,6.389703069794191E-6
330,2.650906839556593E-5
340,3.2313660610397325E-5
350,2.000000037513769
360,4.1867321561554715E-6
370,1.0323287237231423E-6
380,2.000000132927313
390,2.2135728949594795E-6
400,8.799886312801917E-6
410,2.000007123449334
420,2.4189802662824314E-5
430,6.663670809264912E-6
440,1.4551749934094511E-5
450,8.579493850809607E-6
460,1.807760002037265E-5
470,2.0000082376687316
480,5.1737940918421474E-6
490,6.7604590493060964E-6
500,2.000000019753911
