x,y
50,2.000003625782447
60,1.3071643453558453E-4
70,2.0000279002768937
80,4.519679466242422E-5
90,1.4531567640569015E-5
100,2.427825756644388E-5
110,4.726747320145033E-6
120,7.466481863260709E-6
130,3.788190554058656E-5
140,1.0567690951814533E-5
150,9.358879874006254E-6
160,3.2584187047996997E-5
170,1.0569799890209361E-5
180,6.412047542975736E-5
190,9.55605821317057E-6
200,2.1449868438613503E-5
210,2.728752028546325E-5
220,1.623794109718367E-5
230,2.7279186817151504E-6
240,2.9540641714650485E-5
250,2.4502140362783567E-5
260,8.549156852419888E-6
270,2.0000008430270255
280,2.404365935734232E-5
290,1.1992471775793717E-5
300,5.700051615276768E-6
310,1.2842537316356916E-6
320,3.3944238423694846E-6
330,6.885915834595408E-5
340,3.080819517958011E-5
350,4.16335057939124E-6
360,6.747337202136891E-6
370,2.0000003088283185
380,1.5411188121530637E-5
390,4.852244401062515E-6
400,9.193560488872337E-6
410,4.245529710523255E-6
420,3.7589930175523247E-6
430,1.9437114878581286E-6
440,1.0938505543506511E-5
450,6.08805560788023E-7
460,4.189870520405679E-6
470,3.53891903042508E-6
480,4.6265517665246674E-7
490,7.576001696907893E-7
500,3.5692997467072195E-7
