x,y
10,6.823255242029966E-6
20,1.6930559447341923E-5
30,1.8319201827325149E-6
40,3.293332609423282E-5
50,2.8843637842044808E-5
60,6.626999066720321E-7
70,3.4502311647552307E-6
80,2.2454536705786275E-6
90,3.257879239907368E-5
100,7.180277160266312E-6
