x,y
50,1.0581936019870726E-4
60,4.118365504261049E-5
70,9.623851089021552E-5
80,2.904236652899734E-5
90,2.128065796703654E-5
100,7.958115610204924E-5
110,1.152968874979592E-5
120,1.7824254520956793E-4
130,4.761894851957204E-5
140,4.135750299985344E-5
150,2.204768754275347E-5
160,2.859778880840936E-6
170,2.5110638331313367E-6
180,2.38771315606254E-5
190,1.0134578085079473E-5
200,1.5397300057155224E-5
210,3.306408915135328E-5
220,1.3381836625866985E-5
230,1.5110765589407604E-5
240,9.78731700559287E-6
250,1.6038335822006655E-5
260,8.458595665687457E-6
270,1.5612370177352414E-6
280,1.4914848692022036E-6
290,1.2005551840382927E-5
300,1.291939573032116E-6
310,1.4056708729818926E-6
320,2.00020325835935
330,1.5406273112293636E-5
340,2.9286135614535944E-6
350,2.000039920664022
360,6.119071435729348E-6
370,3.578598739980442E-7
380,2.600718745656856E-6
390,1.958186501586806E-6
400,9.042186996412964E-6
410,8.363727324964151E-6
420,5.2672808268174606E-6
430,4.567255119687983E-6
440,2.385595232244438E-5
450,1.404475803749307E-5
460,3.6960132000078595E-6
470,7.66227762913883E-7
480,2.582048221222697E-6
490,4.626701297201488E-7
500,6.881433196322551E-6
