x,y
50,0.0011318870213866874
60,2.895606714154906E-4
70,4.7408326989753177E-4
80,2.0010386418712423
90,3.772971860876137E-4
100,3.122426578220316E-4
110,1.2126194734063884E-4
120,2.000002580044175
130,2.0005116598210657
140,1.5521786205553362E-4
150,1.7912107050194716E-4
160,2.0000085541214796
170,8.01721807100083E-5
180,1.8584890590764234E-4
190,6.331911464437679E-5
200,1.7510821957251373E-4
210,6.077873164369093E-5
220,3.417960074507829E-5
230,2.0001586645332394
240,8.668930547846721E-5
250,2.000059291516072
260,3.224849338235414E-6
270,1.3375715659322417E-4
280,1.1546323399775757E-5
290,2.0002408882790514
300,2.0000065072059243
310,3.127493004373699E-5
320,2.1406584388893123E-5
330,2.0000001545146713
340,2.566618571481912E-5
350,2.000000994122652
360,1.5040684402356402E-5
370,2.000003855554108
380,1.1435663342702818E-4
390,1.9066375655743732E-5
400,3.0034553546654414E-5
410,2.0000022026690987
420,1.6070776077516366E-5
430,5.35847343532228E-6
440,2.0000589336386625
450,2.0002149848934665
460,2.0528296156600183E-5
470,2.0001620029476643
480,2.0000290997937626
490,2.0684124178647983E-5
500,8.400456997731843E-6
