x,y
50,3.985398193986467E-5
60,2.1121452597944602E-4
70,4.591666323284754E-5
80,3.24811749789665E-5
90,3.0310340967897382E-5
100,1.5463634817289248E-5
110,2.0014410244809517
120,4.94467942417755E-5
130,1.3689978237343637E-5
140,1.8275703701103895E-5
150,1.4699861045478288E-5
160,1.0081367915707161E-5
170,1.2508217723012133E-5
180,4.509628402306212E-6
190,5.4833866400392356E-5
200,5.345556187502103E-6
210,3.3717583375827364E-5
220,3.3864940963637493E-6
230,3.4382553541650366E-5
240,1.8542651785153254E-5
250,2.6059353240941284E-6
260,2.0003432592871734E-4
270,3.2853534790509938E-6
280,5.815873955807611E-6
290,1.6728220017353067E-5
300,4.823251437031102E-5
310,1.9067696092673898E-5
320,4.6552711238879286E-5
330,1.909506798707599E-6
340,1.4267178376370243E-5
350,4.816885974485063E-6
360,8.01117042647909E-6
370,2.9530650584534213E-5
380,2.0000015393223585
390,1.9323231726559993E-5
400,4.838755090058107E-7
410,2.1666063649471158E-6
420,1.4136044447601004E-5
430,1.1684752082227966E-7
440,5.910755635081057E-6
450,7.300381762148367E-7
460,1.2529725447276013E-6
470,1.791726941802752E-6
480,3.445913856061367E-6
490,1.4947908491649481E-5
500,1.415473126030014E-6
