x,y
50,5.963672038748927E-4
60,2.0028903526388664
70,4.7751739406675487E-4
80,0.0020280443466425737
90,2.854042590199672E-4
100,3.15000344915706E-4
110,5.094000219868829E-4
120,2.000161308325702
130,1.9188980944128295E-4
140,2.3027553959791016E-4
150,1.7414719448813579E-4
160,2.5374889068208924E-5
170,1.5495043899629868E-4
180,2.0001490163568634
190,5.3055138825120934E-5
200,8.68512955746556E-5
210,2.0000604543075924
220,2.2824455551972484E-5
230,1.960093090144138E-4
240,4.505061543611864E-5
250,1.0636352125761037E-4
260,1.4426420986671813E-5
270,8.078992759526713E-5
280,2.0000457306695316
290,2.8902312029475373E-5
300,5.271405690902349E-5
310,2.0000670008961814
320,2.912073132592194E-5
330,2.0000186252247776
340,5.4396048687922453E-5
350,2.0001013015285927
360,1.2032705108643635E-5
370,2.000168328644419
380,2.9164944714310484E-5
390,4.528045442313263E-5
400,5.720527004074475E-5
410,7.426893466281915E-5
420,2.0000008621649674
430,5.589936496198056E-5
440,1.421445166826647E-5
450,2.4247416330863165E-6
460,3.3122308827684026E-5
470,2.7514197361499862E-5
480,7.027739030108912E-6
490,6.1215615767458925E-6
500,2.0000067702454727
