x,y
50,2.002423568425083
60,2.000080345127913
70,8.08294616970286E-6
80,1.6228672457659437E-4
90,2.0000867960905317
100,4.110689753186886E-5
110,1.4282092987532837E-4
120,2.000319168348558
130,2.1303222266023377E-4
140,1.3582568684014399E-4
150,2.894819363438029E-4
160,6.64875678128173E-5
170,1.8417022666302093E-5
180,4.4489559668407335E-5
190,2.479630053700271E-6
200,1.6080819608560446E-5
210,3.219012482171033E-5
220,3.2419598746793325E-5
230,2.625414959830449E-5
240,1.4742672151193931E-4
250,2.0307945475333296E-5
260,8.565089107429214E-6
270,1.910524641848169E-5
280,2.4754394185519838E-5
290,4.926247001901676E-6
300,1.2752567089564738E-6
310,1.2076508931197958E-4
320,6.624553336661358E-6
330,3.747977666433963E-5
340,2.496584336410597E-6
350,6.657740007671314E-6
360,6.1813052408049015E-6
370,2.7354895665199926E-6
380,2.7555896798464343E-7
390,1.5226336891008115E-6
400,3.7232564525505773E-6
410,3.092666606854121E-6
420,4.1582913981548215E-6
430,5.8923751831755975E-6
440,3.5510317409317976E-6
450,2.615762903832698E-6
460,1.3825971172774091E-5
470,5.389474524402563E-5
480,1.0158050303182264E-5
490,1.702778944958548E-5
500,1.7899520071456015E-6
