x,y
50,9.743594524400483E-5
60,3.83705380118754E-4
70,2.74261784555946E-4
80,3.630898742085819E-5
90,7.194873424100415E-5
100,1.0383409095957976E-4
110,7.436707718346364E-6
120,1.8434481833888835E-5
130,4.2296598337169175E-5
140,2.6733105967344864E-5
150,9.218091532508062E-5
160,5.66571380795955E-6
170,1.2067882896681471E-5
180,4.048064647084315E-5
190,3.967042101053704E-5
200,1.830038781819171E-5
210,3.834011726137783E-5
220,1.6429546691778574E-6
230,2.0001531646325996
240,4.251533020207885E-5
250,1.516717898604459E-5
260,5.517011506782897E-5
270,1.3054780803178998E-5
280,1.2513682807023023E-5
290,2.2023209316032418E-5
300,3.6747117785309676E-5
310,6.525714419570257E-6
320,1.0836719371415341E-5
330,2.0242832326777867E-5
340,1.3943815653612751E-5
350,2.595984324356811E-5
360,1.5992810115733545E-5
370,1.6636945754804185E-5
380,2.745549770653164E-6
390,1.8008496604058907E-7
400,2.9600924043083033E-6
410,1.4908141639782013E-5
420,8.49410296253169E-7
430,6.1487173116620095E-6
440,1.501313347203731E-5
450,6.549385410667262E-6
460,2.000033587927133
470,7.451411627298676E-6
480,2.963419755189455E-6
490,2.272688420692645E-6
500,5.365028104056504E-6
