x,y
50,1.3492108538989947E-4
60,3.249693125706723E-4
70,1.4968129886204354E-4
80,3.126511315114585E-5
90,2.000617264084285
100,1.9540013763445617E-5
110,5.3949549332797696E-5
120,3.4140182509384384E-5
130,7.830615462316897E-6
140,8.568653471001296E-6
150,2.4740019326133518E-5
160,1.1062551640950364E-4
170,3.7417716020255266E-6
180,4.7951130021731394E-5
190,7.530913750997678E-6
200,2.000084042133219
210,9.209852583427719E-6
220,3.049566473449163E-5
230,1.6911569167768026E-5
240,8.906061510658894E-6
250,8.484723549674652E-6
260,1.167350979126E-5
270,1.4645672519260793E-5
280,1.0971012005116782E-5
290,2.6105954719467415E-5
300,5.935308230150568E-5
310,2.8130909343606847E-5
320,8.765134551152194E-6
330,8.481351777257774E-6
340,1.2270853006363223E-5
350,2.1238770916972677E-5
360,5.180469600916014E-6
370,2.2239720962535955E-6
380,4.670953495190498E-5
390,6.330037092546064E-6
400,2.786196230890693E-6
410,6.9907967342359955E-6
420,2.2872000213904876E-5
430,2.0693546354688575E-5
440,2.811470558072526E-6
450,4.830117209274043E-6
460,5.079763624611142E-6
470,4.4688652793406255E-6
480,2.9040217106264828E-6
490,8.367346658357259E-6
500,1.643414268711166E-5
